Time name; timer [s/ps]
timePollAckReceived;7666502.5
timeRangeSent;7681311.0
timeINO;26807.0
timePollSent;7753708.5
timePollAckReceived;7768505.0
timePollAckReceived;7870504.5
timeRangeSent;7885311.5
timeINO;27011.0
timePollSent;7957713.5
timePollAckReceived;7972508.0
timePollAckReceived;8176511.0
timeRangeSent;8191317.5
timeINO;27317.0
timePollSent;8263719.5
timePollAckReceived;8278515.0
timePollAckReceived;8380517.5
timeRangeSent;8395326.0
timeINO;27521.0
timePollSent;8467724.0
timePollAckReceived;8482516.0
timePollAckReceived;8584524.0
timeRangeSent;8599330.0
timeINO;27725.0
timePollSent;8671728.0
timePollAckReceived;8686522.0
timePollAckReceived;8788529.0
timeRangeSent;8803336.0
timeINO;27929.0
timePollSent;8875732.0
timePollAckReceived;8890527.0
timePollAckReceived;8992532.0
timeRangeSent;9007340.0
timeINO;28133.0
timePollSent;9079736.0
timePollAckReceived;9094531.0
timePollAckReceived;9196536.0
timeRangeSent;9211343.0
timeINO;28337.0
timePollSent;9283741.0
timePollAckReceived;9298537.0
timePollAckReceived;9400536.0
timeRangeSent;9415342.0
timeINO;28541.0
timePollSent;9487746.0
timePollAckReceived;9502541.0
timePollAckReceived;9604545.0
timeRangeSent;9619353.0
timeINO;28745.0
timePollSent;9691750.0
timePollAckReceived;9706549.0
timePollAckReceived;9808546.0
timeRangeSent;9823354.0
timeINO;28949.0
timePollSent;9895755.0
timePollAckReceived;9910552.0
timePollAckReceived;10012554.0
timeRangeSent;10027361.0
timeINO;29153.0
timePollSent;10099759.0
timePollAckReceived;10114556.0
timePollAckReceived;10318561.0
timeRangeSent;10333370.0
timeINO;29459.0
timePollSent;10405766.0
timePollAckReceived;10420562.0
timePollAckReceived;10522562.0
timeRangeSent;10537369.0
timeINO;29663.0
timePollSent;10609770.0
timePollAckReceived;10624568.0
timePollAckReceived;10726569.0
timeRangeSent;10741375.0
timeINO;29867.0
timePollSent;10813775.0
timePollAckReceived;10828569.0
timePollAckReceived;10930570.0
timeRangeSent;10945379.0
timeINO;30071.0
timePollSent;11017780.0
timePollAckReceived;11032576.0
timePollAckReceived;11134575.0
timeRangeSent;11149382.0
timeINO;30275.0
timePollSent;11221783.0
timePollAckReceived;11236577.0
timePollAckReceived;11338582.0
timeRangeSent;11353389.0
timeINO;30479.0
timePollSent;11425787.0
timePollAckReceived;11440583.0
timePollAckReceived;11542585.0
timeRangeSent;11557393.0
timeINO;30683.0
timePollSent;11629793.0
timePollAckReceived;11644585.0
timePollAckReceived;11746589.0
timeRangeSent;11761396.0
timeINO;30887.0
timePollSent;11833798.0
timePollAckReceived;11848590.0
timePollAckReceived;11950596.0
timeRangeSent;11965405.0
timeINO;31091.0
timePollSent;12037802.0
timePollAckReceived;12052596.0
timePollAckReceived;12154600.0
timeRangeSent;12169408.0
timeINO;31295.0
timePollSent;12241806.0
timePollAckReceived;12256601.0
timePollAckReceived;12460608.0
timeRangeSent;12475417.0
timeINO;31601.0
timePollSent;12547812.0
timePollAckReceived;12562610.0
timePollAckReceived;12664608.0
timeRangeSent;12679415.0
timeINO;31805.0
timePollSent;12751817.0
timePollAckReceived;12766613.0
timePollAckReceived;12868614.0
timeRangeSent;12883420.0
timeINO;32009.0
timePollSent;12955822.0
timePollAckReceived;12970616.0
timePollAckReceived;13072618.0
timeRangeSent;13087426.0
timeINO;32213.0
timePollSent;13159826.0
timePollAckReceived;13174624.0
timePollAckReceived;13276622.0
timeRangeSent;13291429.0
timeINO;32417.0
timePollSent;13363829.0
timePollAckReceived;13378624.0
timePollAckReceived;13480627.0
timeRangeSent;13495433.0
timeINO;32621.0
timePollSent;13567834.0
timePollAckReceived;13582629.0
timePollAckReceived;13684634.0
timeRangeSent;13699443.0
timeINO;32825.0
timePollSent;13771840.0
timePollAckReceived;13786635.0
timePollAckReceived;13888637.0
timeRangeSent;13903445.0
timeINO;33029.0
timePollSent;13975844.0
timePollAckReceived;13990638.0
timePollAckReceived;14092641.0
timeRangeSent;14107448.0
timeINO;33233.0
timePollSent;14179849.0
timePollAckReceived;14194642.0
timePollAckReceived;14296646.0
timeRangeSent;14311454.0
timeINO;33437.0
timePollSent;14383853.0
timePollAckReceived;14398649.0
timePollAckReceived;14602651.0
timeRangeSent;14617459.0
timeINO;33743.0
timePollSent;14689859.0
timePollAckReceived;14704655.0
timePollAckReceived;14806656.0
timeRangeSent;14821464.0
timeINO;33947.0
timePollSent;14893864.0
timePollAckReceived;14908662.0
timePollAckReceived;15010661.0
timeRangeSent;15025470.0
timeINO;34151.0
timePollSent;15097868.0
timePollAckReceived;15112659.0
timePollAckReceived;15214667.0
timeRangeSent;15229476.0
timeINO;34355.0
timePollSent;15301872.0
timePollAckReceived;15316667.0
timePollAckReceived;15418672.0
timeRangeSent;15433478.0
timeINO;34559.0
timePollSent;15505876.0
timePollAckReceived;15520674.0
timePollAckReceived;15622676.0
timeRangeSent;15637485.0
timeINO;34763.0
timePollSent;15709882.0
timePollAckReceived;15724677.0
timePollAckReceived;15826681.0
timeRangeSent;15841488.0
timeINO;34967.0
timePollSent;15913886.0
timePollAckReceived;15928679.0
timePollAckReceived;16030682.0
timeRangeSent;16045490.0
timeINO;35171.0
timePollSent;16117891.0
timePollAckReceived;16132685.0
timePollAckReceived;16234687.0
timeRangeSent;16249493.0
timeINO;35375.0
timePollSent;16321895.0
timePollAckReceived;16336689.0
timePollAckReceived;16438690.0
timeRangeSent;16453498.0
timeINO;35579.0
timePollSent;16525898.0
timePollAckReceived;16540693.0
timePollAckReceived;16744700.0
timeRangeSent;16759510.0
timeINO;35885.0
timePollSent;16831906.0
timePollAckReceived;16846702.0
timePollAckReceived;16948704.0
timeRangeSent;16963512.0
timeINO;36089.0
timePollSent;17035910.0
timePollAckReceived;17050706.0
