Num of Anchor; Time [ms]; Data Anchor; dbm
1780; 291490.0;0.54;-60.82
1780; 292621.0;0.49;-61.26
1780; 293750.0;0.49;-61.53
1780; 294881.0;0.5;-61.88
1780; 296010.0;0.5;-61.92
1780; 297140.0;0.5;-61.76
1780; 298270.0;0.5;-61.46
1780; 299399.0;0.54;-62.42
1780; 300528.0;0.5;-62.61
1780; 301657.0;0.51;-61.42
1780; 302786.0;0.51;-61.24
1780; 303915.0;0.5;-61.59
1780; 305044.0;0.51;-61.23
1780; 306173.0;0.52;-61.55
1780; 307303.0;0.51;-62.07
1780; 308433.0;0.5;-61.7
1780; 309563.0;0.52;-61.19
1780; 310692.0;0.51;-61.99
1780; 311822.0;0.53;-59.57
1780; 312952.0;0.53;-61.81
1780; 314081.0;0.49;-62.67
1780; 315211.0;0.52;-61.58
1780; 316340.0;0.51;-60.99
1780; 317470.0;0.5;-60.61
1780; 318599.0;0.51;-60.46
1780; 319729.0;0.57;-60.69
1780; 320858.0;0.5;-61.37
1780; 321987.0;0.49;-61.51
1780; 323116.0;0.49;-62.87
1780; 324246.0;0.5;-61.6
1780; 325376.0;0.49;-62.01
1780; 326506.0;0.51;-62.22
1780; 327635.0;0.5;-62.71
1780; 328765.0;0.5;-61.87
1780; 329895.0;0.47;-61.03
1780; 331025.0;0.53;-61.88
1780; 332154.0;0.51;-61.25
1780; 333283.0;0.5;-61.66
1780; 334413.0;0.5;-61.19
1780; 335542.0;0.53;-61.17
1780; 336672.0;0.5;-61.36
1780; 337802.0;0.51;-60.82
1780; 338932.0;0.53;-60.49
1780; 340061.0;0.5;-61.98
1780; 341190.0;0.53;-62.15
1780; 342319.0;0.51;-61.64
1780; 343449.0;0.51;-62.14
1780; 344579.0;0.51;-63.26
1780; 345709.0;0.55;-62.49
1780; 346839.0;0.5;-61.92
1780; 347969.0;0.51;-61.96
1780; 349099.0;0.49;-62.66
1780; 350229.0;0.52;-62.25
1780; 351358.0;0.51;-61.72
1780; 352488.0;0.49;-62.57
1780; 353617.0;0.48;-61.4
1780; 354746.0;0.5;-62.18
1780; 355876.0;0.51;-61.94
1780; 357006.0;0.51;-62.48
1780; 358135.0;0.53;-62.04
1780; 359264.0;0.52;-62.04
1780; 360394.0;0.52;-61.87
1780; 361524.0;0.49;-60.68
1780; 362654.0;0.51;-62.17
1780; 363785.0;0.5;-62.58
1780; 364915.0;0.5;-63.02
1780; 366045.0;0.53;-60.32
1780; 367174.0;0.52;-61.37
1780; 368304.0;0.51;-61.94
1780; 369435.0;0.52;-60.51
1780; 370564.0;0.5;-62.27
1780; 371694.0;0.51;-62.8
1780; 372824.0;0.52;-61.91
1780; 373954.0;0.49;-60.85
1780; 375084.0;0.5;-60.65
1780; 376214.0;0.51;-60.99
1780; 377343.0;0.51;-62.12
1780; 378472.0;0.51;-61.93
1780; 379601.0;0.49;-62.19
1780; 380730.0;0.51;-62.16
1780; 381859.0;0.52;-62.55
1780; 382988.0;0.47;-61.54
1780; 384117.0;0.5;-61.74
1780; 385246.0;0.52;-61.4
1780; 386376.0;0.52;-62.14
1780; 387505.0;0.48;-62.03
1780; 388635.0;0.51;-62.1
1780; 389764.0;0.51;-61.37
1780; 390893.0;0.53;-61.5
1780; 392022.0;0.5;-61.86
1780; 393151.0;0.49;-60.18
1780; 394281.0;0.49;-61.48
1780; 395410.0;0.5;-62.05
1780; 396539.0;0.48;-62.35
1780; 397669.0;0.5;-62.36
1780; 398800.0;0.53;-61.94
1780; 399929.0;0.55;-61.68
1780; 401060.0;0.52;-61.8
1780; 402189.0;0.51;-61.74
1780; 403320.0;0.51;-60.74
1780; 404449.0;0.5;-61.63
1780; 405580.0;0.51;-60.81
1780; 406709.0;0.5;-62.11
1780; 407839.0;0.49;-61.37
1780; 408968.0;0.5;-60.86
1780; 410098.0;0.5;-62.2
1780; 411227.0;0.5;-61.06
1780; 412356.0;0.46;-62.62
1780; 413486.0;0.49;-60.57
1780; 414615.0;0.49;-61.63
1780; 415745.0;0.49;-61.2
1780; 416874.0;0.5;-61.7
1780; 418003.0;0.49;-62.52
1780; 419133.0;0.52;-61.34
1780; 420262.0;0.52;-62.45
1780; 421392.0;0.51;-59.78
1780; 422521.0;0.51;-62.72
1780; 423650.0;0.5;-61.54
1780; 424780.0;0.49;-61.64
1780; 425909.0;0.52;-61.63
1780; 427038.0;0.5;-61.92
1780; 428167.0;0.48;-62.24
1780; 429296.0;0.51;-62.12
1780; 430426.0;0.51;-61.32
1780; 431555.0;0.52;-59.94
1780; 432685.0;0.5;-61.42
1780; 433815.0;0.5;-61.55
1780; 434945.0;0.51;-60.7
1780; 436075.0;0.49;-61.44
1780; 437205.0;0.49;-60.09
1780; 438336.0;0.53;-61.45
1780; 439466.0;0.49;-61.4
1780; 440596.0;0.53;-60.92
1780; 441725.0;0.5;-62.46
1780; 442854.0;0.52;-62.4
1780; 443984.0;0.48;-61.72
1780; 445113.0;0.52;-62.21
1780; 446242.0;0.5;-60.61
1780; 447372.0;0.52;-61.33
1780; 448501.0;0.49;-60.71
1780; 449630.0;0.53;-61.22
1780; 450760.0;0.48;-61.67
1780; 451889.0;0.53;-60.9
1780; 453018.0;0.48;-62.41
1780; 454147.0;0.52;-62.01
1780; 455277.0;0.52;-62.36
1780; 456407.0;0.47;-62.22
1780; 457536.0;0.5;-62.63
1780; 458665.0;0.51;-62.16
1780; 459794.0;0.48;-62.54
1780; 460923.0;0.48;-60.7
1780; 462052.0;0.48;-61.32
1780; 463182.0;0.49;-61.8
1780; 464311.0;0.46;-62.5
1780; 465441.0;0.47;-63.11
1780; 466570.0;0.52;-61.61
1780; 467700.0;0.5;-62.41
1780; 468830.0;0.5;-60.47
1780; 469959.0;0.5;-61.49
1780; 471089.0;0.47;-62.19
1780; 472219.0;0.48;-61.79
1780; 473351.0;0.5;-61.97
1780; 474482.0;0.48;-61.11
1780; 475612.0;0.53;-61.87
1780; 476741.0;0.52;-60.22
1780; 477871.0;0.52;-59.84
1780; 479002.0;0.56;-60.96
1780; 480132.0;0.47;-61.02
1780; 481261.0;0.51;-62.23
1780; 482392.0;0.51;-63.34
1780; 483521.0;0.48;-60.69
1780; 484651.0;0.47;-61.43
1780; 485780.0;0.52;-62.04
1780; 486909.0;0.52;-62.26
1780; 488038.0;0.5;-61.23
1780; 489167.0;0.49;-61.14
1780; 490296.0;0.45;-62.51
1780; 491426.0;0.47;-61.24
1780; 492555.0;0.5;-60.56
1780; 493685.0;0.49;-61.29
1780; 494814.0;0.49;-60.88
1780; 495943.0;0.5;-61.45
1780; 497072.0;0.5;-61.93
1780; 498202.0;0.48;-61.49
1780; 499332.0;0.48;-61.24
1780; 500461.0;0.51;-62.26
1780; 501591.0;0.51;-61.29
1780; 502721.0;0.51;-60.35
1780; 503851.0;0.49;-62.3
1780; 504980.0;0.53;-60.98
1780; 506110.0;0.51;-62.46
1780; 507240.0;0.52;-63.21
1780; 508370.0;0.5;-62.25
1780; 509499.0;0.49;-61.99
1780; 510629.0;0.49;-62.53
1780; 511759.0;0.49;-62.45
1780; 512888.0;0.47;-62.03
1780; 514018.0;0.5;-62.62
1780; 515147.0;0.48;-61.26
1780; 516277.0;0.52;-61.35
1780; 517406.0;0.53;-60.49
1780; 518536.0;0.49;-61.71
1780; 519665.0;0.49;-61.32
1780; 520794.0;0.5;-62.65
1780; 521924.0;0.49;-61.46
1780; 523053.0;0.49;-62.3
1780; 524182.0;0.5;-61.93
1780; 525311.0;0.5;-62.48
1780; 526441.0;0.49;-61.85
1780; 527570.0;0.53;-61.66
1780; 528699.0;0.51;-60.78
1780; 529828.0;0.52;-61.69
1780; 530958.0;0.53;-62.85
1780; 532088.0;0.5;-60.98
1780; 533217.0;0.5;-62.72
1780; 534346.0;0.5;-59.85
1780; 535476.0;0.49;-61.66
1780; 536605.0;0.47;-61.57
1780; 537734.0;0.5;-61.7
1780; 538863.0;0.49;-61.96
1780; 539993.0;0.47;-59.69
1780; 541123.0;0.47;-61.27
1780; 542252.0;0.47;-61.87
1780; 543381.0;0.53;-61.73
1780; 544511.0;0.51;-60.85
1780; 545641.0;0.49;-61.5
1780; 546771.0;0.52;-61.08
1780; 547902.0;0.5;-62.1
1780; 549031.0;0.5;-62.06
1780; 550161.0;0.49;-61.58
1780; 551290.0;0.49;-62.88
1780; 552420.0;0.54;-61.8
1780; 553550.0;0.5;-60.56
1780; 554680.0;0.46;-63.4
1780; 555809.0;0.5;-61.64
1780; 556939.0;0.48;-61.01
1780; 558068.0;0.49;-61.04
1780; 559198.0;0.5;-61.32
1780; 560327.0;0.48;-61.48
1780; 561456.0;0.51;-60.78
1780; 562585.0;0.5;-61.01
1780; 563715.0;0.5;-62.13
1780; 564844.0;0.5;-61.56
1780; 565973.0;0.51;-61.5
1780; 567102.0;0.49;-62.75
1780; 568232.0;0.48;-61.95
1780; 569361.0;0.49;-62.0
1780; 570490.0;0.51;-61.31
1780; 571619.0;0.5;-62.55
1780; 572748.0;0.51;-61.16
1780; 573878.0;0.48;-62.34
1780; 575008.0;0.49;-60.79
1780; 576138.0;0.5;-61.25
1780; 577267.0;0.5;-62.23
1780; 578396.0;0.47;-62.69
1780; 579526.0;0.51;-62.27
1780; 580655.0;0.49;-60.92
1780; 581785.0;0.51;-61.95
1780; 582915.0;0.51;-60.4
1780; 584045.0;0.49;-61.6
1780; 585175.0;0.49;-63.47
1780; 586306.0;0.5;-61.41
1780; 587436.0;0.5;-62.63
1780; 588565.0;0.46;-61.59
1780; 589695.0;0.48;-62.04
1780; 590826.0;0.49;-61.84
1780; 591955.0;0.51;-61.12
1780; 593084.0;0.51;-62.04
1780; 594213.0;0.53;-60.17
1780; 595344.0;0.47;-61.39
1780; 596473.0;0.5;-61.12
1780; 597602.0;0.5;-60.24
1780; 598731.0;0.5;-61.29
1780; 599860.0;0.47;-62.35
1780; 600989.0;0.54;-59.37
1780; 602118.0;0.52;-59.0
1780; 603247.0;0.49;-61.82
1780; 604376.0;0.48;-62.4
1780; 605505.0;0.51;-61.48
1780; 606634.0;0.5;-62.16
1780; 607763.0;0.51;-61.1
1780; 608893.0;0.52;-59.98
1780; 610022.0;0.51;-60.17
1780; 611152.0;0.49;-61.57
1780; 612281.0;0.5;-61.37
1780; 613411.0;0.51;-61.84
1780; 614541.0;0.5;-62.67
1780; 615670.0;0.49;-62.46
1780; 616799.0;0.52;-62.46
1780; 617928.0;0.49;-61.27
1780; 619058.0;0.48;-61.3
1780; 620188.0;0.53;-61.73
1780; 621319.0;0.49;-61.66
1780; 622449.0;0.51;-61.93
1780; 623579.0;0.5;-61.33
1780; 624709.0;0.5;-61.05
1780; 625838.0;0.53;-60.42
1780; 626968.0;0.47;-61.53
1780; 628097.0;0.5;-62.32
1780; 629228.0;0.52;-62.13
1780; 630357.0;0.49;-60.74
1780; 631486.0;0.5;-61.93
1780; 632615.0;0.51;-60.81
1780; 633745.0;0.5;-61.5
1780; 634874.0;0.53;-62.46
1780; 636003.0;0.49;-62.48
1780; 637132.0;0.48;-60.07
1780; 638262.0;0.53;-62.6
1780; 639391.0;0.51;-61.88
1780; 640520.0;0.52;-61.02
1780; 641649.0;0.52;-61.98
1780; 642778.0;0.5;-62.16
1780; 643907.0;0.53;-60.31
1780; 645036.0;0.5;-62.57
1780; 646165.0;0.48;-61.07
1780; 647294.0;0.53;-61.72
1780; 648423.0;0.49;-60.24
1780; 649552.0;0.53;-60.63
1780; 650681.0;0.5;-63.41
1780; 651810.0;0.5;-61.19
1780; 652939.0;0.49;-60.12
1780; 654068.0;0.48;-60.91
1780; 655197.0;0.49;-62.02
1780; 656327.0;0.51;-61.59
1780; 657458.0;0.53;-61.89
1780; 658587.0;0.52;-61.59
1780; 659716.0;0.52;-62.17
1780; 660846.0;0.48;-60.42
1780; 661978.0;0.5;-60.05
1780; 663107.0;0.51;-61.9
1780; 664236.0;0.49;-59.96
1780; 665365.0;0.49;-59.99
1780; 666495.0;0.5;-61.59
1780; 667624.0;0.5;-62.09
1780; 668754.0;0.5;-62.65
1780; 669883.0;0.49;-61.69
1780; 671012.0;0.49;-62.64
1780; 672141.0;0.48;-61.29
1780; 673270.0;0.49;-60.41
1780; 674399.0;0.51;-60.86
1780; 675529.0;0.5;-60.88
1780; 676658.0;0.49;-61.22
1780; 677788.0;0.47;-61.44
1780; 678917.0;0.46;-62.8
1780; 680046.0;0.51;-61.59
1780; 681176.0;0.5;-62.16
1780; 682306.0;0.49;-61.31
1780; 683435.0;0.5;-62.17
1780; 684565.0;0.48;-62.96
1780; 685695.0;0.5;-61.55
1780; 686824.0;0.51;-61.89
1780; 687953.0;0.51;-59.71
1780; 689083.0;0.51;-62.14
1780; 690212.0;0.48;-59.96
1780; 691341.0;0.47;-62.22
1780; 692470.0;0.5;-59.73
1780; 693600.0;0.46;-61.44
1780; 694730.0;0.52;-61.9
1780; 695860.0;0.51;-61.94
1780; 696989.0;0.51;-61.26
1780; 698119.0;0.48;-61.46
1780; 699249.0;0.53;-61.93
1780; 700380.0;0.5;-58.84
1780; 701509.0;0.54;-61.92
1780; 702639.0;0.49;-59.88
1780; 703768.0;0.47;-62.24
1780; 704898.0;0.54;-61.91
1780; 706028.0;0.5;-61.61
1780; 707158.0;0.53;-61.37
1780; 708287.0;0.48;-62.19
1780; 709416.0;0.51;-61.95
1780; 710545.0;0.49;-62.48
1780; 711674.0;0.5;-62.21
1780; 712803.0;0.5;-61.1
1780; 713933.0;0.46;-63.1
1780; 715062.0;0.51;-60.73
1780; 716191.0;0.48;-61.17
1780; 717320.0;0.48;-61.01
1780; 718449.0;0.51;-61.62
1780; 719578.0;0.51;-60.79
1780; 720707.0;0.49;-61.2
1780; 721837.0;0.54;-61.5
1780; 722966.0;0.46;-60.8
1780; 724095.0;0.46;-62.62
1780; 725224.0;0.53;-61.98
1780; 726353.0;0.49;-61.44
1780; 727483.0;0.52;-60.46
1780; 728612.0;0.52;-62.11
1780; 729741.0;0.52;-59.98
1780; 730871.0;0.5;-61.69
1780; 732001.0;0.5;-61.6
1780; 733131.0;0.52;-61.25
1780; 734261.0;0.5;-62.16
1780; 735392.0;0.47;-62.47
1780; 736521.0;0.47;-61.79
1780; 737652.0;0.51;-61.77
1780; 738781.0;0.48;-62.01
1780; 739910.0;0.53;-61.39
1780; 741039.0;0.48;-62.01
1780; 742169.0;0.5;-63.26
1780; 743299.0;0.46;-62.02
1780; 744428.0;0.53;-60.94
1780; 745557.0;0.52;-61.62
1780; 746687.0;0.51;-62.74
1780; 747816.0;0.5;-62.15
1780; 748945.0;0.5;-61.17
1780; 750075.0;0.5;-62.42
1780; 751204.0;0.53;-62.2
1780; 752333.0;0.48;-62.64
1780; 753462.0;0.49;-60.11
1780; 754591.0;0.52;-61.46
1780; 755720.0;0.49;-61.57
1780; 756850.0;0.51;-62.65
1780; 757980.0;0.5;-61.04
1780; 759109.0;0.48;-61.3
1780; 760238.0;0.47;-61.12
1780; 761367.0;0.5;-63.03
1780; 762497.0;0.53;-60.57
1780; 763626.0;0.49;-61.46
1780; 764756.0;0.5;-61.86
1780; 765885.0;0.49;-63.26
1780; 767015.0;0.49;-60.04
1780; 768145.0;0.51;-60.83
1780; 769274.0;0.51;-60.0
